Store,Day,Month,Year,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Day of the Week
31,13,5,2011," $ 1,408,118.22 ",0,75.04,3.899,215.61,7.931,5/13/2011,Fri
32,13,5,2011," $ 1,138,162.76 ",0,56.09,3.767,192.83,8.595,5/13/2011,Fri
33,13,5,2011," $ 279,466.87 ",0,78.24,4.202,129.09,8.687,5/13/2011,Fri
34,13,5,2011," $ 966,232.69 ",0,63.05,3.872,129.09,10.581,5/13/2011,Fri
35,13,5,2011," $ 826,155.95 ",0,60.07,4.066,138.50,8.512,5/13/2011,Fri
36,13,5,2011," $ 395,316.65 ",0,76.73,3.92,214.69,8.3,5/13/2011,Fri
37,13,5,2011," $ 511,871.63 ",0,76.73,3.899,214.69,8.3,5/13/2011,Fri
38,13,5,2011," $ 366,977.79 ",0,70.93,4.202,129.09,13.736,5/13/2011,Fri
39,13,5,2011," $ 1,325,022.77 ",0,77.39,3.899,214.69,8.3,5/13/2011,Fri
40,13,5,2011," $ 903,864.02 ",0,54.09,4.095,134.59,4.781,5/13/2011,Fri
41,13,5,2011," $ 1,270,025.74 ",0,50.29,3.767,192.83,6.934,5/13/2011,Fri
42,13,5,2011," $ 603,024.75 ",0,74.04,4.202,129.09,8.494,5/13/2011,Fri
43,13,5,2011," $ 684,655.91 ",0,76.03,3.899,207.73,10.581,5/13/2011,Fri
44,13,5,2011," $ 307,095.31 ",0,52.4,3.77,129.09,6.906,5/13/2011,Fri
45,13,5,2011," $ 793,889.10 ",0,60.38,4.066,186.07,8.521,5/13/2011,Fri
1,13,7,2012," $ 1,527,014.04 ",0,77.12,3.256,221.92,6.908,7/13/2012,Fri
2,13,7,2012," $ 1,830,075.13 ",0,80.17,3.256,221.56,6.565,7/13/2012,Fri
3,13,7,2012," $ 416,913.10 ",0,82.28,3.256,225.43,6.334,7/13/2012,Fri
4,13,7,2012," $ 2,100,252.61 ",0,76.86,3.224,130.68,4.077,7/13/2012,Fri
5,13,7,2012," $ 316,203.64 ",0,80.78,3.256,222.51,5.603,7/13/2012,Fri
6,13,7,2012," $ 1,588,142.26 ",0,80.27,3.256,223.53,5.668,7/13/2012,Fri
7,13,7,2012," $ 694,150.89 ",0,64.21,3.613,197.88,7.872,7/13/2012,Fri
8,13,7,2012," $ 890,488.01 ",0,78.46,3.256,225.48,5.401,7/13/2012,Fri
9,13,7,2012," $ 536,537.64 ",0,82.39,3.256,225.68,5.277,7/13/2012,Fri
10,13,7,2012," $ 1,765,571.91 ",0,89.8,3.723,130.68,7.17,7/13/2012,Fri
11,13,7,2012," $ 1,320,239.51 ",0,82.46,3.256,225.43,6.334,7/13/2012,Fri
12,13,7,2012," $ 960,312.75 ",0,95.61,3.723,130.68,10.926,7/13/2012,Fri
13,13,7,2012," $ 2,002,750.99 ",0,83.68,3.595,130.68,5.765,7/13/2012,Fri
14,13,7,2012," $ 1,544,422.35 ",0,79.97,3.523,191.17,8.684,7/13/2012,Fri
15,13,7,2012," $ 591,335.50 ",0,72.62,3.689,138.26,8.193,7/13/2012,Fri
16,13,7,2012," $ 569,005.06 ",0,70.29,3.613,197.88,6.061,7/13/2012,Fri
17,13,7,2012," $ 960,746.04 ",0,72.94,3.595,130.68,5.936,7/13/2012,Fri
18,13,7,2012," $ 1,024,784.92 ",0,75.09,3.561,138.26,8.535,7/13/2012,Fri
19,13,7,2012," $ 1,321,741.35 ",0,73.17,3.689,138.26,8.193,7/13/2012,Fri
20,13,7,2012," $ 2,134,680.12 ",0,78.27,3.523,214.73,7.28,7/13/2012,Fri
21,13,7,2012," $ 668,132.36 ",0,82.51,3.256,221.56,6.565,7/13/2012,Fri
22,13,7,2012," $ 971,361.38 ",0,75.81,3.561,142.25,7.753,7/13/2012,Fri
23,13,7,2012," $ 1,384,921.63 ",0,69.19,3.561,138.26,4.156,7/13/2012,Fri
24,13,7,2012," $ 1,405,475.78 ",0,75.36,3.689,138.26,8.953,7/13/2012,Fri
25,13,7,2012," $ 714,093.95 ",0,73.87,3.523,214.73,7.28,7/13/2012,Fri
26,13,7,2012," $ 1,063,149.78 ",0,64.47,3.561,138.26,7.405,7/13/2012,Fri
27,13,7,2012," $ 1,755,889.53 ",0,78.95,3.689,142.25,8.239,7/13/2012,Fri
28,13,7,2012," $ 1,179,915.04 ",0,95.61,3.723,130.68,10.926,7/13/2012,Fri
29,13,7,2012," $ 514,709.76 ",0,75.81,3.561,138.26,9.419,7/13/2012,Fri
30,13,7,2012," $ 417,640.34 ",0,82.51,3.256,221.56,6.565,7/13/2012,Fri
31,13,7,2012," $ 1,374,301.34 ",0,82.51,3.256,221.56,6.565,7/13/2012,Fri
32,13,7,2012," $ 1,141,184.66 ",0,71.57,3.613,197.88,7.872,7/13/2012,Fri
33,13,7,2012," $ 287,033.64 ",0,97.6,3.723,130.68,7.147,7/13/2012,Fri
34,13,7,2012," $ 954,677.75 ",0,74.02,3.224,130.68,9.285,7/13/2012,Fri
35,13,7,2012," $ 825,763.48 ",0,78.95,3.523,142.25,8.839,7/13/2012,Fri
36,13,7,2012," $ 298,337.41 ",0,78.15,3.245,220.61,6.623,7/13/2012,Fri
37,13,7,2012," $ 506,005.47 ",0,78.15,3.256,220.61,6.623,7/13/2012,Fri
38,13,7,2012," $ 416,036.75 ",0,95.61,3.723,130.68,10.926,7/13/2012,Fri
39,13,7,2012," $ 1,471,261.76 ",0,78.16,3.256,220.61,6.623,7/13/2012,Fri
40,13,7,2012," $ 979,848.71 ",0,67.48,3.561,138.26,4.156,7/13/2012,Fri
41,13,7,2012," $ 1,332,594.07 ",0,67.24,3.613,197.88,6.432,7/13/2012,Fri
42,13,7,2012," $ 628,099.08 ",0,89.8,3.723,130.68,7.17,7/13/2012,Fri
43,13,7,2012," $ 627,634.04 ",0,78.82,3.256,213.31,9.285,7/13/2012,Fri
44,13,7,2012," $ 336,479.49 ",0,83.68,3.595,130.68,5.407,7/13/2012,Fri
45,13,7,2012," $ 749,817.08 ",0,79.97,3.523,191.17,8.684,7/13/2012,Fri
1,13,8,2010," $ 1,508,237.76 ",0,87,2.692,211.64,7.787,8/13/2010,Fri
2,13,8,2010," $ 1,895,601.05 ",0,89.05,2.692,211.30,8.099,8/13/2010,Fri
3,13,8,2010," $ 339,597.38 ",0,86.74,2.692,214.97,7.346,8/13/2010,Fri
4,13,8,2010," $ 2,007,050.75 ",0,78.08,2.698,126.06,7.372,8/13/2010,Fri
5,13,8,2010," $ 286,477.35 ",0,87.41,2.692,212.20,6.496,8/13/2010,Fri
6,13,8,2010," $ 1,547,654.98 ",0,86.83,2.692,213.17,6.973,8/13/2010,Fri
7,13,8,2010," $ 598,185.40 ",0,60.13,2.723,190.26,9.017,8/13/2010,Fri
8,13,8,2010," $ 867,919.21 ",0,80.11,2.692,215.02,6.315,8/13/2010,Fri
9,13,8,2010," $ 481,897.98 ",0,86.85,2.692,215.20,6.442,8/13/2010,Fri
10,13,8,2010," $ 1,962,996.70 ",0,88.37,3.049,126.06,9.199,8/13/2010,Fri
11,13,8,2010," $ 1,384,339.10 ",0,87.73,2.692,214.97,7.346,8/13/2010,Fri
12,13,8,2010," $ 928,264.40 ",0,87.01,3.159,126.06,14.18,8/13/2010,Fri
13,13,8,2010," $ 1,877,592.55 ",0,74.93,2.837,126.06,7.951,8/13/2010,Fri
14,13,8,2010," $ 2,052,984.81 ",0,78.44,2.805,182.62,8.743,8/13/2010,Fri
15,13,8,2010," $ 622,437.08 ",0,72.17,2.923,132.63,8.099,8/13/2010,Fri
16,13,8,2010," $ 543,757.97 ",0,63.91,2.723,190.26,6.868,8/13/2010,Fri
17,13,8,2010," $ 759,995.18 ",0,65.17,2.837,126.06,6.697,8/13/2010,Fri
18,13,8,2010," $ 1,084,722.78 ",0,74.19,2.81,132.63,9.342,8/13/2010,Fri
19,13,8,2010," $ 1,418,027.08 ",0,72.71,2.923,132.63,8.099,8/13/2010,Fri
20,13,8,2010," $ 2,071,022.45 ",0,75.98,2.805,204.85,7.527,8/13/2010,Fri
21,13,8,2010," $ 793,589.18 ",0,89.65,2.692,211.30,8.099,8/13/2010,Fri
22,13,8,2010," $ 993,097.43 ",0,74.75,2.81,136.49,8.433,8/13/2010,Fri
23,13,8,2010," $ 1,346,345.97 ",0,67.43,2.81,132.63,5.326,8/13/2010,Fri
24,13,8,2010," $ 1,384,243.75 ",0,74.17,2.923,132.63,8.117,8/13/2010,Fri
25,13,8,2010," $ 686,072.39 ",0,72.73,2.805,204.85,7.527,8/13/2010,Fri
26,13,8,2010," $ 1,011,938.29 ",0,61.58,2.81,132.63,8.445,8/13/2010,Fri
27,13,8,2010," $ 1,864,436.12 ",0,77.36,2.923,136.49,7.982,8/13/2010,Fri
28,13,8,2010," $ 1,218,688.09 ",0,87.01,3.159,126.06,14.18,8/13/2010,Fri
29,13,8,2010," $ 495,269.00 ",0,74.75,2.81,132.63,10.409,8/13/2010,Fri
30,13,8,2010," $ 444,160.07 ",0,89.65,2.692,211.30,8.099,8/13/2010,Fri
31,13,8,2010," $ 1,327,719.34 ",0,89.65,2.692,211.30,8.099,8/13/2010,Fri
32,13,8,2010," $ 1,157,975.68 ",0,74.97,2.723,190.26,9.017,8/13/2010,Fri
33,13,8,2010," $ 265,367.51 ",0,95.57,3.049,126.06,9.495,8/13/2010,Fri
34,13,8,2010," $ 951,208.65 ",0,76.72,2.698,126.06,9.816,8/13/2010,Fri
35,13,8,2010," $ 1,090,587.50 ",0,77.36,2.805,136.49,8.861,8/13/2010,Fri
36,13,8,2010," $ 470,436.80 ",0,86.06,2.644,210.39,8.36,8/13/2010,Fri
37,13,8,2010," $ 491,815.83 ",0,86.06,2.692,210.39,8.36,8/13/2010,Fri
38,13,8,2010," $ 341,400.72 ",0,87.01,3.159,126.06,14.18,8/13/2010,Fri
39,13,8,2010," $ 1,371,465.66 ",0,85.66,2.692,210.39,8.36,8/13/2010,Fri
40,13,8,2010," $ 924,011.76 ",0,67.47,2.81,132.63,5.326,8/13/2010,Fri
41,13,8,2010," $ 1,285,976.53 ",0,70.24,2.723,190.26,7.335,8/13/2010,Fri
42,13,8,2010," $ 583,079.97 ",0,88.37,3.049,126.06,9.199,8/13/2010,Fri
43,13,8,2010," $ 713,479.91 ",0,86.31,2.692,203.54,9.816,8/13/2010,Fri
44,13,8,2010," $ 291,028.09 ",0,74.93,2.837,126.06,7.804,8/13/2010,Fri
45,13,8,2010," $ 722,262.21 ",0,78.44,2.805,182.62,8.743,8/13/2010,Fri
1,14,1,2011," $ 1,391,013.96 ",0,35.4,2.983,211.46,7.742,1/14/2011,Fri
2,14,1,2011," $ 1,744,193.58 ",0,33.02,2.983,211.12,8.028,1/14/2011,Fri
3,14,1,2011," $ 381,061.10 ",0,44.76,2.983,214.75,7.551,1/14/2011,Fri
4,14,1,2011," $ 1,865,502.46 ",0,31.6,2.992,127.30,6.51,1/14/2011,Fri
5,14,1,2011," $ 260,636.71 ",0,37.74,2.983,212.01,6.634,1/14/2011,Fri
6,14,1,2011," $ 1,306,194.55 ",0,38.37,2.983,212.97,6.858,1/14/2011,Fri
7,14,1,2011," $ 547,384.90 ",0,11.32,2.911,191.48,8.818,1/14/2011,Fri
8,14,1,2011," $ 809,646.66 ",0,31.62,2.983,214.79,6.262,1/14/2011,Fri
9,14,1,2011," $ 458,086.69 ",0,36.43,2.983,214.97,6.416,1/14/2011,Fri
10,14,1,2011," $ 1,710,803.59 ",0,49.98,3.312,127.30,8.744,1/14/2011,Fri
11,14,1,2011," $ 1,194,449.78 ",0,45.34,2.983,214.75,7.551,1/14/2011,Fri
12,14,1,2011," $ 812,011.80 ",0,43.15,3.312,127.30,14.021,1/14/2011,Fri
13,14,1,2011," $ 1,682,316.31 ",0,20.6,2.903,127.30,7.47,1/14/2011,Fri
14,14,1,2011," $ 1,699,095.90 ",0,24.78,3.205,182.66,8.549,1/14/2011,Fri
15,14,1,2011," $ 479,424.20 ",0,19.53,3.367,132.95,7.771,1/14/2011,Fri
16,14,1,2011," $ 470,365.59 ",0,17.46,2.911,191.48,6.614,1/14/2011,Fri
17,14,1,2011," $ 758,510.36 ",0,16.57,2.903,127.30,6.866,1/14/2011,Fri
18,14,1,2011," $ 777,175.28 ",0,22.69,3.215,132.95,9.131,1/14/2011,Fri
19,14,1,2011," $ 1,181,204.53 ",0,21.68,3.367,132.95,7.771,1/14/2011,Fri
20,14,1,2011," $ 1,884,345.01 ",0,20.39,3.205,204.70,7.343,1/14/2011,Fri
21,14,1,2011," $ 650,789.13 ",0,34.14,2.983,211.12,8.028,1/14/2011,Fri
22,14,1,2011," $ 807,535.52 ",0,24.76,3.215,136.80,8.458,1/14/2011,Fri
23,14,1,2011," $ 1,016,756.10 ",0,18.2,3.215,132.95,5.114,1/14/2011,Fri
24,14,1,2011," $ 1,167,740.20 ",0,22.41,3.367,132.95,8.252,1/14/2011,Fri
25,14,1,2011," $ 572,360.83 ",0,18.3,3.205,204.70,7.343,1/14/2011,Fri
26,14,1,2011," $ 812,323.29 ",0,16.7,3.215,132.95,7.907,1/14/2011,Fri
27,14,1,2011," $ 1,532,308.62 ",0,25.7,3.367,136.80,7.827,1/14/2011,Fri
28,14,1,2011," $ 1,098,286.61 ",0,43.15,3.312,127.30,14.021,1/14/2011,Fri
29,14,1,2011," $ 426,905.26 ",0,24.76,3.215,132.95,10.256,1/14/2011,Fri
30,14,1,2011," $ 465,408.72 ",0,34.14,2.983,211.12,8.028,1/14/2011,Fri
31,14,1,2011," $ 1,350,730.31 ",0,34.14,2.983,211.12,8.028,1/14/2011,Fri
32,14,1,2011," $ 1,028,206.51 ",0,21.69,2.911,191.48,8.818,1/14/2011,Fri
33,14,1,2011," $ 259,527.75 ",0,53.63,3.312,127.30,8.951,1/14/2011,Fri
34,14,1,2011," $ 898,610.33 ",0,30.75,2.992,127.30,10.398,1/14/2011,Fri
35,14,1,2011," $ 687,670.78 ",0,25.7,3.205,136.80,8.549,1/14/2011,Fri
36,14,1,2011," $ 410,497.73 ",0,42.87,2.971,210.24,8.395,1/14/2011,Fri
37,14,1,2011," $ 525,616.90 ",0,42.87,2.983,210.24,8.395,1/14/2011,Fri
38,14,1,2011," $ 356,138.79 ",0,43.15,3.312,127.30,14.021,1/14/2011,Fri
39,14,1,2011," $ 1,193,199.39 ",0,41.74,2.983,210.24,8.395,1/14/2011,Fri
40,14,1,2011," $ 771,315.62 ",0,18.55,3.215,132.95,5.114,1/14/2011,Fri
41,14,1,2011," $ 1,052,609.16 ",0,22.44,2.911,191.48,7.241,1/14/2011,Fri
42,14,1,2011," $ 613,899.15 ",0,49.98,3.312,127.30,8.744,1/14/2011,Fri
43,14,1,2011," $ 614,940.07 ",0,43.45,2.983,203.48,10.398,1/14/2011,Fri
44,14,1,2011," $ 292,859.36 ",0,20.6,2.903,127.30,7.224,1/14/2011,Fri
45,14,1,2011," $ 654,018.95 ",0,24.78,3.205,182.66,8.549,1/14/2011,Fri
1,14,5,2010," $ 1,494,251.50 ",0,74.78,2.854,210.34,7.808,5/14/2010,Fri
2,14,5,2010," $ 1,880,752.36 ",0,73.31,2.854,210.00,8.2,5/14/2010,Fri
3,14,5,2010," $ 384,357.94 ",0,77.18,2.854,213.62,7.343,5/14/2010,Fri
4,14,5,2010," $ 1,875,597.28 ",0,62.35,2.845,126.21,7.896,5/14/2010,Fri
5,14,5,2010," $ 296,673.77 ",0,74.79,2.854,210.89,6.465,5/14/2010,Fri
6,14,5,2010," $ 1,524,059.40 ",0,74.95,2.854,211.84,7.092,5/14/2010,Fri
7,14,5,2010," $ 372,673.61 ",0,41.41,2.788,189.49,8.963,5/14/2010,Fri
8,14,5,2010," $ 873,337.84 ",0,61.35,2.854,213.67,6.29,5/14/2010,Fri
